header,true_label,true_label_id,pred_label,pred_label_id,second_best_label,confidence,entropy,margin,correct,original_label,prob_None,prob_DNA,prob_DNA/Academ-1,prob_DNA/CMC,prob_DNA/Kolobok,prob_DNA/P,prob_DNA/PIF-Harbinger,prob_DNA/PiggyBac,prob_DNA/Sola-2,prob_DNA/TcMar-Tc1,prob_DNA/hAT
hAT_373-aEngPus#DNA/hAT,DNA/hAT,10,None,0,DNA/P,0.1993218,2.3149285,0.08550475,False,DNA/hAT,0.1993218,0.06483687,0.07750476,0.08851368,0.10245017,0.11381706,0.053385507,0.06573927,0.10878644,0.05182229,0.073822215
hAT_148-aEngPus#DNA/hAT,DNA/hAT,10,None,0,DNA/P,0.19920468,2.3150706,0.085459255,False,DNA/hAT,0.19920468,0.06498096,0.07756784,0.08851676,0.10235244,0.11374543,0.053359475,0.065781906,0.10883931,0.051743828,0.073907405
hAT_191-aEngPus#DNA/hAT,DNA/hAT,10,None,0,DNA/P,0.19916132,2.315154,0.08540114,False,DNA/hAT,0.19916132,0.0651003,0.07754635,0.0884278,0.10239367,0.11376018,0.053367864,0.0658277,0.108793676,0.05175015,0.07387104
hAT_202-aEngPus#DNA/hAT,DNA/hAT,10,None,0,DNA/P,0.19902532,2.3152428,0.0851631,False,DNA/hAT,0.19902532,0.06508242,0.077590846,0.08836337,0.10231892,0.11386222,0.053424094,0.06583877,0.108901,0.05171814,0.07387501
hAT_205-aEngPus#DNA/hAT,DNA/hAT,10,None,0,DNA/P,0.19963054,2.3143013,0.08553721,False,DNA/hAT,0.19963054,0.06445227,0.07740759,0.08854687,0.10243846,0.11409333,0.05335342,0.06552096,0.109012805,0.051744685,0.07379912
hAT_217-aEngPus#DNA/hAT,DNA/hAT,10,None,0,DNA/P,0.19918525,2.3150184,0.08532065,False,DNA/hAT,0.19918525,0.06495365,0.07747676,0.0884472,0.10240827,0.1138646,0.0533924,0.06578574,0.10891157,0.051749293,0.073825255
hAT_297-aEngPus#DNA/hAT,DNA/hAT,10,None,0,DNA/P,0.19906324,2.315167,0.08518299,False,DNA/hAT,0.19906324,0.06504217,0.07750833,0.08839539,0.10237753,0.113880254,0.053410873,0.06582066,0.10891855,0.051741943,0.07384105
hAT_328-aEngPus#DNA/hAT,DNA/hAT,10,None,0,DNA/P,0.19921501,2.315011,0.08533576,False,DNA/hAT,0.19921501,0.06514476,0.07752304,0.08827564,0.10235892,0.11387925,0.05338453,0.06582197,0.10893794,0.05166032,0.07379853
hAT_383-aEngPus#DNA/hAT,DNA/hAT,10,None,0,DNA/P,0.19913083,2.31512,0.08521484,False,DNA/hAT,0.19913083,0.06519797,0.077494934,0.088251926,0.10238711,0.113915995,0.05341733,0.06585992,0.10889697,0.051680505,0.07376651
hAT_388-aEngPus#DNA/hAT,DNA/hAT,10,None,0,DNA/P,0.19911857,2.315151,0.08521854,False,DNA/hAT,0.19911857,0.06521106,0.07748629,0.08824872,0.102399476,0.11390003,0.053422112,0.06586087,0.108885705,0.051700857,0.07376625
hAT_452-aEngPus#DNA/hAT,DNA/hAT,10,None,0,DNA/P,0.19902073,2.3153694,0.085253574,False,DNA/hAT,0.19902073,0.0653294,0.07750744,0.0883368,0.102349676,0.113767155,0.053416062,0.06590279,0.1088127,0.051752415,0.0738049
hAT_463-aEngPus#DNA/hAT,DNA/hAT,10,None,0,DNA/P,0.19883773,2.315588,0.08511627,False,DNA/hAT,0.19883773,0.06547048,0.07760455,0.08826545,0.1022536,0.11372146,0.05341338,0.065970145,0.10888716,0.051705547,0.07387052
hAT_468-aEngPus#DNA/hAT,DNA/hAT,10,None,0,DNA/P,0.19904365,2.3153625,0.08538746,False,DNA/hAT,0.19904365,0.06528254,0.07761542,0.08841823,0.10223815,0.113656186,0.053371496,0.06589797,0.10884122,0.05170689,0.073928185
hAT_476-aEngPus#DNA/hAT,DNA/hAT,10,None,0,DNA/P,0.19904453,2.315299,0.08521091,False,DNA/hAT,0.19904453,0.0652779,0.07750071,0.08833164,0.10235078,0.11383361,0.05344096,0.065878846,0.10883215,0.05172347,0.07378542
hAT_513-aEngPus#DNA/hAT,DNA/hAT,10,None,0,DNA/P,0.19883151,2.31562,0.085100345,False,DNA/hAT,0.19883151,0.065433465,0.077592045,0.088333905,0.10228218,0.11373117,0.05346147,0.065951854,0.10879596,0.051725127,0.07386124
hAT_541-aEngPus#DNA/hAT,DNA/hAT,10,None,0,DNA/P,0.19923554,2.3148491,0.0851403,False,DNA/hAT,0.19923554,0.06486286,0.07745796,0.08835501,0.10238121,0.11409524,0.053448945,0.065693825,0.108985275,0.051712796,0.07377134
hAT_553-aEngPus#DNA/hAT,DNA/hAT,10,None,0,DNA/P,0.19910945,2.3150506,0.08520807,False,DNA/hAT,0.19910945,0.06496445,0.07751957,0.0884488,0.10229164,0.11390138,0.053372394,0.065752886,0.10903182,0.051728792,0.073878825
hAT_563-aEngPus#DNA/hAT,DNA/hAT,10,None,0,DNA/P,0.1987621,2.31572,0.08510164,False,DNA/hAT,0.1987621,0.06560049,0.07762646,0.08825467,0.10220457,0.11366046,0.053402793,0.06601585,0.10888699,0.05169672,0.07388891
hAT_591-aEngPus#DNA/hAT,DNA/hAT,10,None,0,DNA/P,0.19933479,2.314816,0.085452534,False,DNA/hAT,0.19933479,0.06496233,0.077475056,0.088391736,0.10237531,0.11388225,0.05333922,0.06575807,0.10896724,0.051676072,0.0738379
hAT_671-aEngPus#DNA/hAT,DNA/hAT,10,None,0,DNA/P,0.19870469,2.3158407,0.08508728,False,DNA/hAT,0.19870469,0.0655598,0.0776337,0.08836143,0.10225785,0.11361741,0.053426363,0.06600626,0.10873717,0.051759858,0.07393544
hAT_726-aEngPus#DNA/hAT,DNA/hAT,10,None,0,DNA/P,0.1989186,2.315513,0.08518493,False,DNA/hAT,0.1989186,0.06540466,0.077545494,0.08835444,0.10230404,0.113733664,0.053437155,0.06594028,0.108799756,0.05173217,0.07382971
hAT_820-aEngPus#DNA/hAT,DNA/hAT,10,None,0,DNA/P,0.19858378,2.31605,0.08500821,False,DNA/hAT,0.19858378,0.06575172,0.077658,0.08829406,0.10216338,0.11357557,0.053453043,0.06609758,0.10874775,0.051739015,0.07393611
hAT_878-aEngPus#DNA/hAT,DNA/hAT,10,None,0,DNA/P,0.19863875,2.3158662,0.08493012,False,DNA/hAT,0.19863875,0.06566705,0.07761082,0.08820804,0.10216916,0.11370863,0.053435706,0.06604239,0.10889686,0.05171597,0.07390655
hAT_906-aEngPus#DNA/hAT,DNA/hAT,10,None,0,DNA/P,0.19900522,2.3153238,0.08518975,False,DNA/hAT,0.19900522,0.06533034,0.07755372,0.08823399,0.10222354,0.113815464,0.053393293,0.06587135,0.10898936,0.051702995,0.07388077
hAT_907-aEngPus#DNA/hAT,DNA/hAT,10,None,0,DNA/P,0.1988067,2.3155923,0.08499033,False,DNA/hAT,0.1988067,0.06543234,0.07757874,0.08826985,0.102184616,0.11381637,0.053433083,0.06590477,0.10894003,0.051755767,0.07387778
hAT_951-aEngPus#DNA/hAT,DNA/hAT,10,None,0,DNA/P,0.19914608,2.315302,0.085503586,False,DNA/hAT,0.19914608,0.06555094,0.07754203,0.08826834,0.102200694,0.11364249,0.053313088,0.06596186,0.10884993,0.051636398,0.07388813
