header,true_label,true_binary,v3_bin_pred,v3_bin_conf,v3_sf_pred,v3_sf_conf,v4_bin_pred,v4_bin_conf,v4_sf_pred,v4_sf_conf,seq_length,modeled_sf,binary_eval,v3_bin_correct,v4_bin_correct,both_bin_correct,both_bin_wrong,v3_sf_correct,v4_sf_correct,both_sf_wrong,models_agree
PIF-Harbinger_1-fProPar#DNA/PIF-Harbinger,DNA/PIF-Harbinger,1,0,0.8480189,DNA,0.26007882,1,0.9983347,DNA,0.49412617,12120,True,True,False,True,False,False,False,False,True,True
ERV2_1-bHalAlb#LTR,DNA/PiggyBac,1,0,0.9963168,DNA,0.25934726,0,0.99988556,DNA,0.68455064,3442,True,True,False,False,False,True,False,False,True,True
hAT_9-fEchVip#DNA,DNA,1,1,0.65562695,DNA/PiggyBac,0.8483961,1,0.99176264,DNA/TcMar-Tc1,0.70958024,2204,True,True,True,True,True,False,False,False,True,False
hAT_53-fPhoLeu#DNA,DNA,1,0,0.7952889,DNA/Academ-1,0.81104183,1,0.9980478,DNA/PiggyBac,0.87822783,2452,True,True,False,True,False,False,False,False,True,False
hAT_27-fSarPil#DNA,DNA,1,1,0.9604407,DNA/PiggyBac,0.6328377,1,0.97636867,DNA/TcMar-Tc1,0.7716131,2480,True,True,True,True,True,False,False,False,True,False
hAT_6-fLamInc#DNA,DNA,1,1,0.8892242,DNA/Academ-1,0.5624138,1,0.99725276,DNA/PiggyBac,0.5841979,3872,True,True,True,True,True,False,False,False,True,False
hAT_74-fLeuLeu#DNA,DNA,1,1,0.66349095,DNA/Academ-1,0.5217028,1,0.96823657,DNA/CMC,0.6378085,4175,True,True,True,True,True,False,False,False,True,False
TcMar-Tc1_9-fPhoLeu#DNA,DNA,1,0,0.9971762,DNA/CMC,0.47781885,1,0.999424,DNA/TcMar-Tc1,0.87525886,7112,True,True,False,True,False,False,False,False,True,False
hAT_45-fHypImm#DNA,DNA,1,0,0.75234747,DNA/Academ-1,0.45355085,1,0.9098821,DNA/CMC,0.6975362,5994,True,True,False,True,False,False,False,False,True,False
hAT_87-fNanAch#DNA,DNA,1,1,0.65419716,DNA/CMC,0.44274518,1,0.6883517,DNA/PIF-Harbinger,0.5992088,15383,True,True,True,True,True,False,False,False,True,False
hAT_125-fDirArg#DNA/hAT,DNA/hAT,1,1,0.9011441,DNA/CMC,0.4402224,1,0.96806216,DNA/PiggyBac,0.82778317,9422,True,True,True,True,True,False,False,False,True,False
PiggyBac_5-fNanAch#DNA/PiggyBac,DNA/PiggyBac,1,1,0.849622,DNA,0.43884668,1,0.9999846,DNA/PIF-Harbinger,0.5765746,3906,True,True,True,True,True,False,False,False,True,False
TcMar-Tc1_1-mRhiPer#DNA/TcMar-Tc1,DNA/TcMar-Tc1,1,0,0.9961515,DNA/CMC,0.43546036,1,0.72744787,DNA/hAT,0.6553483,11179,True,True,False,True,False,False,False,False,True,False
hAT_4-fPunPun#DNA/hAT,DNA/hAT,1,1,0.8584842,DNA/CMC,0.43292546,1,0.9996935,DNA,0.86794096,10478,True,True,True,True,True,False,False,False,True,False
TcMar-Tc1_15-fAstMex#DNA/TcMar-Tc1,DNA/TcMar-Tc1,1,1,0.78252137,DNA,0.41119888,1,0.99984956,DNA/hAT,0.9182464,2120,True,True,True,True,True,False,False,False,True,False
hAT_29-fEpiRan#DNA,DNA,1,0,0.6262476,DNA/CMC,0.40397164,1,0.9856785,DNA/hAT,0.8629784,7530,True,True,False,True,False,False,False,False,True,False
P_15-kAplTur#DNA,DNA,1,1,0.82815415,DNA/CMC,0.3949399,1,0.9995049,DNA/hAT,0.91480327,5514,True,True,True,True,True,False,False,False,True,False
hAT_2-fRutRut#DNA/hAT,DNA/hAT,1,1,0.54872835,DNA/CMC,0.39285648,1,0.9905909,DNA,0.72066796,8981,True,True,True,True,True,False,False,False,True,False
hAT_12-fSynTyp#DNA,DNA,1,1,0.6358592,DNA/CMC,0.38506708,1,0.7743014,DNA/TcMar-Tc1,0.6908292,6173,True,True,True,True,True,False,False,False,True,False
hAT_74-fCoiMys#DNA/hAT,DNA/hAT,1,1,0.792672,DNA/CMC,0.38275775,1,0.7574101,DNA/PiggyBac,0.5941116,10422,True,True,True,True,True,False,False,False,True,False
Kolobok_1-fProPar#DNA,DNA,1,1,0.5083666,DNA/PIF-Harbinger,0.36488533,0,0.63319254,DNA/hAT,0.6362312,5479,True,True,True,False,False,False,False,False,True,False
hAT_2-fNanAch#DNA,DNA,1,1,0.5482986,DNA/CMC,0.34360784,1,0.9999597,DNA/hAT,0.91936487,6434,True,True,True,True,True,False,False,False,True,False
hAT_217-fNotRos#DNA,DNA,1,1,0.96381044,DNA/CMC,0.33308572,1,0.9910268,DNA/TcMar-Tc1,0.40045172,5487,True,True,True,True,True,False,False,False,True,False
PIF-ISL2EU_1-fOsmEpe#DNA,DNA,1,0,0.9636661,DNA/CMC,0.33185425,1,0.9978727,DNA/hAT,0.9102606,5144,True,True,False,True,False,False,False,False,True,False
hAT_56-fProPar#DNA/hAT,DNA/hAT,1,1,0.89948094,DNA/PIF-Harbinger,0.32586646,1,0.99889576,DNA,0.4321327,7636,True,True,True,True,True,False,False,False,True,False
TcMar-Tc1_5-fGadMor#DNA/TcMar-Tc1,DNA/TcMar-Tc1,1,0,0.7222649,DNA/hAT,0.32144684,1,0.99958426,DNA,0.543582,4179,True,True,False,True,False,False,False,False,True,False
Academ-1_3-kMyxGlu#DNA/Academ-1,DNA/Academ-1,1,1,0.9264034,DNA/hAT,0.31286752,1,0.9990233,DNA,0.2958547,3121,True,True,True,True,True,False,False,False,True,False
Academ-1_1-fMyrMur#DNA/Academ-1,DNA/Academ-1,1,1,0.91045475,DNA/hAT,0.30383173,0,0.9999982,DNA,0.47731552,2762,True,True,True,False,False,False,False,False,True,False
hAT_1-sScyCan#DNA/hAT,DNA/hAT,1,1,0.7748722,DNA/Academ-1,0.28840083,0,0.99999666,DNA,0.9491993,5100,True,True,True,False,False,False,False,False,True,False
TcMar-Tc1_27-fNotCoa#DNA/TcMar-Tc1,DNA/TcMar-Tc1,1,1,0.87972665,DNA/CMC,0.2834077,1,0.99209595,DNA/PiggyBac,0.67424405,5033,True,True,True,True,True,False,False,False,True,False
Ginger-2_1-fPhoPho#DNA,DNA,1,0,0.9386312,DNA/PIF-Harbinger,0.2824241,1,0.9993362,DNA/TcMar-Tc1,0.4673339,5581,True,True,False,True,False,False,False,False,True,False
PIF-Harbinger_3-fSarPil#DNA/PIF-Harbinger,DNA/PIF-Harbinger,1,0,0.8811714,DNA/hAT,0.28132525,0,0.9828583,DNA/TcMar-Tc1,0.5544625,3636,True,True,False,False,False,True,False,False,True,False
PIF-Harbinger_1-kTriCli#DNA/PIF-Harbinger,DNA/PIF-Harbinger,1,1,0.77253246,DNA/CMC,0.2708534,1,0.83867645,DNA/TcMar-Tc1,0.61575097,9301,True,True,True,True,True,False,False,False,True,False
PIF-Harbinger_1-kStyCla#DNA/PIF-Harbinger,DNA/PIF-Harbinger,1,0,0.7314056,DNA/CMC,0.25712198,1,0.99983823,DNA,0.8646426,4582,True,True,False,True,False,False,False,False,True,False
TcMar-Tc1_2-fMelGel#DNA/TcMar-Tc1,DNA/TcMar-Tc1,1,1,0.8548998,DNA/CMC,0.23736848,0,1.0,DNA,1.0,4581,True,True,True,False,False,False,False,False,True,False
hAT_1-fSarPil#DNA,DNA,1,1,0.55832136,DNA/CMC,0.2323021,0,0.9972874,DNA/hAT,0.47683305,5587,True,True,True,False,False,False,False,False,True,False
